Id,Months,Likes,Comments,Post,Url,Media,Original,Type,Mention,Effort
11,9,13,6,"Word clouds in a scatterplot are generally a bad idea and you should avoid unreadable marks. There is one exception: Highlighting points that are absurdly far from the rest. I could have made several choices to make the plot more readable and to allow my reader to be able to search a particular driver. I could have made the X-axis longer on the negative side, shorten the driver's name, or just use another type of plot... But I purposely didn't. If it makes sense for your narrative, you don't always have to make every point visible. Link: https://lnkd.in/dEx-S33 I have seen this same principle being used in this visualization of the external debt of each country: https://lnkd.in/dBKz9NV hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6471265949902209024-9kVB,Image,TRUE,Display,,
12,9,88,9,"1.645, 1.96, and 2.576. If you are a Tableau user and these numbers seem familiar to you, you have probably realized that Tableau has no easy way of making a visualization to test for statistical significance. The closest thing you can make is a boxplot (based on median and quartiles), but sometimes you might want an error plot (based on the mean and the variance). And I know that p-values are conceptually flawed and the median is almost always better than the mean, but it never hurts to try: https://lnkd.in/dqxu5rh P.S. I have to give credit to Steve Wexler for this one! Check his whitepaper, videos, and his Tableau Public. He is the authority when it comes to visualizing survey data. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6471682038666661888-hwoy,Image,TRUE,Display,Steve Wexler,
13,9,1,0,"To Sankey or not to Sankey? I will have to agree with Chris on this one. However, I would highly recommend anybody learning Tableau to do it as an exercise and take your time to learn why it works. Making a Sankey Chart really helped me understand data densification, why bins are so awesome, and how to create advanced table calculations without guessing. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_sankey-diagrams-the-new-pie-chart-activity-6471808352912437248-IUQg,Link,FALSE,Opinion,Chris Love,
14,9,36,4,"I finally had time to create my own version of Ludovic Tavernier's multi-layer radial chart. Check the link if you haven't done so yet: https://lnkd.in/d2B7jtv Even though I messed up one of the layers, following along was insanely insightful. I had no idea it was possible to work with layers inside the same visualization. When I first saw this chart at the TC, I thought it was floating charts on top of each other. This chart is probably not the best if you want to make precise comparisons between any two points and it can be difficult to interpret. But I still believe it is the best of many worlds. It can display hundreds of data points at the lowest granularity without any overlap nor scrollbars and the design looks stunning. Make sure to give it a try! hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6472696434780045312-0ysI,Image,TRUE,Display,Ludovic Tavernier,
15,9,10,0,"When I was a kid, I dreamt of a job that involved staying in hotels. Mission accomplished. In this last semester, I have seen all sorts of hotels. Hotels full of strangers' hair and stains (never stay at the Siru Hotel in Brussels), hotels with a panic button (which I shouldn’t have pressed), and even hotels with a shower next to your bed. Regarding the viz: I am not a huge fan of maps, they are absurdly space inefficient. Most of my hotels are located on the same streets (you could probably triangulate my work), but some are also located further away. Consequently, the only way to retain some details was to split the map. But I am not 100% happy with the end product though. Here is the link: https://lnkd.in/dPgTGGG Also noteworthy, I was playing with the Mapbox API. I went for the very boring Google Maps style, but they have thousands of options. Make sure to check it out! hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6473120523462152192-F2nf,Image,TRUE,Display,,
16,9,29,3,"Ever since I saw this viz: https://lnkd.in/dUwqVQx I have been particularly fascinated with the idea of creating 3D visualizations in Tableau. Not because it is particularly pretty or insightful, but because it requires a high level of mastery of polygons, data densification, and table calculations. And as you can see from my first attempt, I still have some way to go. If you are curious about using Tableau for 3D graphs, make sure to read this article by Bora Beran: https://lnkd.in/ddgbStp hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6473469933404581889-F8Tz,Image,TRUE,Display,Bora Beran,
17,9,38,5,"Are the titles of self-help books really that predictable? A while back, speaking to my good friend Tony, we were joking about this. So, as any normal person would do, I decided to scrape and analyze the titles and descriptions of hundreds of self-help books while I was on the train. If you are interested in learning the basics of text mining (bag of words, sentiment analysis, etc), I couldn't recommend you enough to check out this book: https://lnkd.in/eqmqFQg Here is the link to this dashboard: https://lnkd.in/enS8vWr hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6473843238586372096-a_kU,Image,TRUE,Display,Tony Zeljkovic,
18,9,45,6,"Last year: ""I am learning D3.js, Ggplot2, and Seaborn because they can do more types of graphs than Tableau"" Last semester: ""Density plots, dendrograms, Ridgeline Plot, and a couple more are not possible in Tableau"" Last month: ""I still don't know how to do a principal component analysis scatterplot in Tableau... But I am sure there is a hacky way of doing it"" Think about it, graphs are just pixels in a Cartesian plane. If you know what coordinates to color and how to connect each dot, you can build anything you can imagine. It is not a matter of something being possible, but rather easy or practical. Ken Flerlage explains this concept a lot more eloquently than me in his blog. Make sure to read every article from the ""Beyond Show Me"" and ""SQL for Tableau"" series. They are gold! https://lnkd.in/dPD5-Da The graph you are seeing below is PCA scatterplot. Using dimensionality reduction, you can visualize more than 2 measures in a 2-dimensional plane. They are not aesthetically pleasing, but I really like the concept. They are also surprisingly easy to make using R. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6474202675729690625-LyOg,Image,TRUE,Display,Ken Flerlage,
19,8,20,1,"I was playing last night with my LinkedIn data and I managed to find some interesting insights. I spent quite a bit of time analyzing the differences between the messages I get from recruiters compared to my other contacts. Here are some of my findings: 1) Most messages in Dutch are from recruiters. 2) I speak more often about R, Python, and Tableau with my contacts. 3) Recruiters use broader terms like ""analyst"" and ""data scientist"". 4) ""Hey"" is probably the best predictor that you are not a recruiter. 5) Recruiters are more interested in my marketing experience. 6) Almost half of my messages include the word data (I had to exclude it from the scatterplot). This doesn't count as a finding, but 1.28% of the recruiters spelled my name wrong. Guan? Yuan? Seriously? It is literally in front of their nose! Link to the dashboard: https://lnkd.in/dfNP3Hj hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6475232218758283264-0rLu,Image,TRUE,Display,,
20,8,3,1,"Size matters, at least when it comes to graphs. While details get lost in a small canvas, a big canvas can really exaggerate and dramatize differences. Today's graph was inspired by one particular video. It is called ""The Fallen of World War II"" and it is the best data storytelling video I have ever seen. I would dare to say that this one video made me fall in love with information design in the first place: https://lnkd.in/d4tSFex Here is the link to my own version: https://lnkd.in/dg52wHU hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6475651840515010561-HS4m,Image,TRUE,Display,,
21,8,46,4,"Behold the most cliche chart in the history of Tableau: Superstore's profit per month. If you are an intermediate or advanced Tableau user, it is widely known that the profit is on a rising trend. But have you noticed how the Superstore struggles to find new clients? These types of insights are the reason I think LOD calculations the most powerful feature in Tableau (although Set Actions are very close). If you want to learn more about LOD, these are my top choices: 1) Bethany Lyons article: https://lnkd.in/dHS6yeb 2) This Udemy course created by R-Tutorials: https://lnkd.in/dzBRb8i hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6476000813075435520-0ZmU,Image,TRUE,Display,Bethany Lyons,
22,8,5,0,"Combining a waffle chart with the infamous ""The World with 100 People"" dataset. In my head, this graph seemed like a great idea. But it is a terrible graph. However, instead of discarding it, I have decided to share it with you and explain what makes it so bad. First of all, let's start with the elephants in the room. Namely, flags are not necessarily are the best tool to represent languages, most of the values are ""Other"", and this dataset is very old. Secondly, this graph doesn't allow us to find interesting patterns in the data. Thirdly, nothing you might want to do with this graph is ""effortless"". You can't easily make comparisons, calculate the total, nor see the data from different granularity levels. In fact, if you don't know the flags of the world by heart, you will probably have trouble reading this graph. Finally, it is not space nor ink efficient. This graph is a lot less efficient and confusing than just writing down the outcomes in bullet points. I hope you all learned from this graph. I will start commenting on bad graphs in the future as well! You can learn a lot from them. Here is the link to the dashboard: https://lnkd.in/dDUyTea hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6476388586869522432-7q17,Image,TRUE,Display,,
23,8,19,1,"I made a really cool dataset last night! I applied sentiment analysis to the descriptions of millions of movies from 1900 until 2017. It contains features like the genre, director, cast, director, and release year. I will be using it in the coming weeks for my graphs. The graph you see below is the average sentiment score of each movie from 1997 until 2017 (did you know Tableau Public has a limit of 15k rows? Neither did I!). As you might expect with any big sample, positive and negative movies even each other out. Additionally, to avoid spoilers, most descriptions speak more about the conflict of the plot (generally bad) and less about the resolution (generally good). So a slight bias for negativity was expected. The only exception for the Philippines, their movies have a surprising skewness towards the positive side. I have no idea why! https://lnkd.in/dXTrUPJ hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6476725979610906624-1ZIm,Image,TRUE,Display,,
24,8,22,8,"When I first started using Tableau, it would frustrate me that you couldn't just simply use formulas like the ones below: NL = df[df.Country=='Netherlands'] NL <- filter(df, Country == ""Netherlands"") Later, I learned this is definitely possible, you just need a different approach. In relational algebra, the right solution is to transform the values you don't need into NULL and then append that one value to each row in a new column. Here is how that formula looks like in Tableau: AVG ( { MAX( IF [Field] = ""Value1"" // AND [Field] != ""Value2"" THEN { fixed [Field] : AGG([Measure]) } END ) } ) The syntax is not particularly elegant and you are all probably wondering: Why is there an AVG and then a MAX at the beginning? Let's start with the MAX. Tableau FORCES you to use an aggregate, but it really doesn't matter if you use MIN, MAX, AVG, or MEDIAN if there is only one value. I personally use MAX because that's how I roll (my glass is half-full), but it is fine if you use any of them. Except for SUM. The whole reason you should avoid using SUM and also why it is a wise idea to wrap the formula with an AVG is to avoid problems with duplicates. Confusing? I know. If you want to learn more check out this course: https://lnkd.in/daFnbpk hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6477783497816702976-jZiq,Image,TRUE,Display,,
25,8,8,0,"Last week, I used this same dataset (sentiment score of the description of the millions of movies) to show how sentiment changes per culture. That graph was built using the heatmap functionality of Tableau. Today, I bring you a graph with the sentiment analysis score of American horror movies throughout the years. This time, I used a normal scatterplot. This obscures the overall distribution and the overlaps, but it highlights the outliers (the movies with a very positive or negative sentiment). It is a trade-off you always have to make: Do you care more about outliers or distribution? Fun facts: 1) ""Hellraiser: Bloodline"" was the most negative movie. Mostly due to the graphic description of each death. Also, the words ""hell"" and ""kill"" appeared quite often. 2) There are 3 versions of Dr. Jekyll and Mr. Hyde between 1910 and 1920. 3) Slashers tend to have lower sentiment scores, while typical suspense thrillers tend to have neutral scores. Mostly because thrillers have a tendency to convey feelings instead of literally mentioning them. Link to the interactive dashboard: https://lnkd.in/eQSkK7J hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6478188166040875008-FwkA,Image,TRUE,Display,,
26,8,6,0,"BI is one of the most diverse disciplines out there. It truly attracts people from every background. However, I truly believe that, from all of the disciplines that make out data visualization, there is an underrepresentation from UX/UI design, graphic designers, and cartography in the community. It is honestly hard to find good resources teaching you how to make a pretty dashboard. That's why I am more than happy to share with all of you this design guide. I don't know them, but the two authors really have an eye for design. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_ai-iot-design-activity-6478269676303503361-qdwc,Image,TRUE,Opinion,,
27,8,106,13,Great news! I am fully certified in Tableau Desktop! Are you considering becoming hashtag#tableau certified? Check this short article I wrote: https://lnkd.in/djE53m6 I will probably make a more complete overview in the coming days. hashtag#juanalytics,https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6478559019224043520-Q_dB,Image,TRUE,Accomplishment,,
28,8,23,2,"In design, highlighting is not just about making one element more appealing than the rest. A big part of it is making everything else unremarkable. It hasn't always been the case, but gray has become my favorite color. It is not particularly aesthetically pleasing, but it is key to unlock the power of other colors I also like (e.g. red, blue, or purple). Well, at least when you are designing on a white or black background. As for the graphs: On top, you have the *almost* out of the box graph that you would get from Tableau. Full of annoying lines, unnecessary subtitles, and absurdly long numbers. Down under, you can see my attempt to making the rest unremarkable. hashtag#tableau hashtag#fiftyshadesofgrey hashtag#visualhierarchy hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-fiftyshadesofgrey-visualhierarchy-activity-6478942985059909632-Fl2j,Image,TRUE,Display,,
29,8,10,1,"Tableau invested a lot of time and effort creating and selecting their default colors palettes and fonts. Wedgewood blue, Carrot orange, Mandy red, Neptune green, and Fern green (in that same order) are not pretty colors nor they don't work together to create a harmonious design. These colors are there because they are particularly easy to distinguish from each other. Same goes with their Tableau font family (e.g. Tableau book). It is not particularly pretty, but it is highly optimized for readability. Tableau even made an article explaining the thought process that went to their font creation: https://lnkd.in/dhDEruy I personally have nothing to say against these fonts and colors. They are great from a functional design perspective. But I do have a small problem with using defaults. No matter how good, the default option conveys that you didn't invest that much effort into something. It seems a bit careless, unexceptional, and even sloppy. I might make a post about color palettes in the future. For now, here is a list of my favorite Tableau fonts. I would like to hear from you: Which fonts do you usually use in your dashboards? hashtag#design hashtag#tableau hashtag#font hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_design-tableau-font-activity-6479308032760119296-ZYi8,Image,TRUE,Display,,
30,8,14,1,"I love shapes! The ability to add custom shapes gives a lot of control over the look of your viz. However, a lot of people forget that you can also use Unicode Characters inside of your calculations. For example, I used this calculation to make the heatmap you see below: IIF( SUM([Profit]) > 0, NULL, ""☠"" ) Shapes are great! But, if black and white will do for you, I would advise you to use Unicode Characters. They don't require you to use an axis, you have more control over the placement, and they fit better inside of a crosstab. Here is a big list of nice Unicode Characters: https://lnkd.in/dBbNq47 hashtag#tableau hashtag#unicode hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-unicode-juanalytics-activity-6480382262163574784-MfoG,Image,TRUE,Display,,
31,8,24,3,"Mean or Median? Most people prefer the Mean, but the Median is the true rockstar! Think about it. Have you ever heard of a single case in which the Mean was better suited than the Median as a measure of central tendency? Sure, the Mean is easier to calculate by hand and it is essential for significance testing. But the Median is robust to outliers and it is more intuitive to understand. Have you ever heard of a Truncated Mean (also known as Trimmed Mean or Windsor Mean)? That's just like putting duct tape to make the Mean behave more like the Median. Just use the Median instead of taking the trouble. Feel free to add to this discussion in the comments. I am genuinely curious about your thoughts. hashtag#stats hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_stats-juanalytics-activity-6480745123826147328-rgS2,Image,TRUE,Display,,
32,8,36,3,"Tableau Public Tip: Using Google Sheets as your data source allows to keep your data synchronized (one extract refresh per day). Exactly like if you were working with Tableau Server and a database, but it is completely free. Meaning that you don't need to re-upload a workbook when the data changes. You can just simply change it directly in your drive and it will be updated on the next day. Additionally, this allows you to harnesses the power of calculations like =TODAY() in your dashboards. I have used this trick to keep track of some hobbies and life events in my Tableau Public profile. This is my favorite example: https://lnkd.in/dsbkZBi hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6481090563583012864-TX3l,Image,TRUE,Display,,
33,8,33,3,"I just witness someone picking up a stranger in the library. She seemed particularly uncomfortable and tried to get out of the conversation a handful of times. But she was just a bit too polite to be blunt and leave. I feel Tableau does exactly the same. Tableau is a bit too polite to tell you shouldn't do pie charts. So it allows you to do them... But you have to make them bigger, center them, and add the labels yourself. This is a huge difference compared to other charts (e.g. bar charts) that looks almost print-ready by default. Same applies to the features that are easy to do in Excel, but cumbersome in Tableau. Conditional formatting for multiple rows, more than 16 columns, and evenly spacing columns (just to name a few). Maybe that is just Tableau's polite way to encourage you to adhere to their ideal of best practices and make your data visual, instead of tabular. hashtag#tableau hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-juanalytics-activity-6481514899427074048-f9Vw,Image,TRUE,Display,,
34,8,13,5,"I feel BI professionals have been indoctrinated to demonize pie charts. Sure, in the absolute majority of cases, they are a really bad chart. But just for the sake of the argument, I will play the devil's advocate here. Our vision has a hard time comparing angles and this is the biggest criticism of pie charts. However, humans are particularly good at distinguishing right angles (exactly 90°). Pie charts are not a bad option when you want to highlight that one group is exactly 1/4 or 1/2 of the total. With this said, you should probably still not do it. You can't always guarantee that your data will create a right angle and, even when you can, you will still lose BI street cred for using a pie chart. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6481848423287918592-ECDF,Image,TRUE,Display,,
35,8,7,0,"Last week I mentioned some of the benefits of using Google Sheets as your data source when you work with Tableau Public: https://lnkd.in/djGzs6Z But did you know it is also possible to scrape web data using Google Sheets? In the image below, I am using =importhtml(A1, ""table"", 3) to scrape a table from Wikipedia. And you are not limited to work with HTML elements. You can choose between: • = ImportXML() • = ImportHTML() • = ImportFEED() • = ImportDATA() If you are particularly interested in web scraping, I highly recommend you to start playing with Rvest (for R) or Beautiful Soup (for Python). Google Sheets is a quick and dirty way of doing it, but it is not always as flexible as you might want. As a warning, be very careful with the sites you scrape. Your IP might be banned if they catch you and there might be legal implications if you scrape websites without obtaining prior permission. Most of the times, you are better off using a website's API. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6482921382706454528-EfPw,Image,TRUE,Display,,
36,8,50,3,Happy holidays for all of you! hashtag#juanalytics,https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6482997128741285888-UmFp,Image,TRUE,Display,,
37,8,12,1,"Exactly one year ago, I was in my hometown of Cali, Colombia. It was absurdly warm. I had to shower 3 times a day and riding on the bus, full of sweaty people, was a nightmare. This year, I spent Christmas in the Netherlands. Away from my family and it makes me a bit nostalgic. People constantly ask me how they can improve their Tableau Public profile. My advice is to use your own data. Telling stories about yourself is a lot more impactful than any generic MoM dataset. From all of my visualizations, the most meaningful to me are the ones with my own data (my career, the places I have lived, and my hobbies). https://lnkd.in/gZEZBCF Do you have any good examples of vizzes using your own data? hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6483318452151939072-Bo8W,Image,TRUE,Display,,
38,8,95,20,"Do you want to learn R? Here is my tip: Start by learning about the Tidyverse, NOT by learning Base R. How can you start learning? 1) Visit the Tidyverse website. It is the prettiest and clearest documentation I have ever seen: https://www.tidyverse.org/ 2) Check out the book ""R for Data Science"" by Hadley Wickham and Garrett Grolemund. It is one of the most complete data science books for beginners I have read. It explains and exemplifies the whole data science cycle. You can read it for free using this link: https://r4ds.had.co.nz/. 3) Try out DataCamp. I am a huge fan of their service. You can use their platform to learn dplyr, ggplot2, stringr, tidyr, purrr, forcats, rmarkdown, shiny, rvest, lubridate, and many more. If you don't know where to start, I would recommend you this course by David Robinson: https://lnkd.in/d67By5v hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tidyverse-activity-6483696417943617536-Nw95,Link,TRUE,Opinion,Hadley Wickham | Garrett Grolemund,FALSE
39,8,17,2,"A while back, I came across a surprisingly interesting data challenge. I had to create a formula to identify if somebody's anniversary already happened or not. At first, I thought the solution had something to do with 365 days. But that is inefficient, since you also have to make rules for leap years. In the end, my approach was a combination of DATEDIFF, TODAY, and MAKEDATE. DATEDIFF('day', TODAY(), MAKEDATE(YEAR(TODAY()), MONTH([Date]), DAY([Date]))) < 0 I am sharing this because I am collecting examples of data challenges. Calculations that seem easy, but might take longer to solve than you expected. If you have a particular example and you would like to share it, I would really appreciate it. P.S. I added the Gangnam Style guy because I couldn't find any Latin artist born on the last days of the year. Almost every birthday already happened this year. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6484036844911628288-S1-X,Image,TRUE,Display,,
40,8,45,0,"I made two big mistakes when I first started learning Python. First mistake: Learning for the sake of learning. Instead of understanding what types of problems can Python solve for me, I just started googling. I came across tutorials to create websites, apps, and even video games. I did a handful of them, but I didn't learn much. Second mistake: Once I decided I wanted to learn about Python for data science, I went directly to learn Scikit-learn and Tensorflow. Without understanding the basics. As somebody without a technical background, here is my advise for anybody learning Python: 1) Find a problem that you want to solve with programming first and then decide what to learn. Your path will eventually take you to new applications, frameworks, or languages. But keep focus at first. Mine was to automate reports. 2) Be aware that many tutorials assume that you are familiar with programming concepts. The web is full of Python tutorials made for programmers who already know other programming languages. 3) If you want to learn Python for data science, start by getting familiar with Pandas and Numpy. Machine learning and deep learning can wait. Make sure to get a copy of ""Python for Data Analysis"" by Wes McKinney. hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6484411499572916224-Sf-D,Image,TRUE,Opinion,Wes McKinney,FALSE
41,7,27,1,"2018 was a great year full of highlights: I moved to Utrecht, started a new job at Biztory - Tableau EMEA Partner of the Year, I was appointed as Area Director, and I recently started writing daily posts here on LinkedIn. It was a year full of hard work and rewards. Just thinking about it motivates me to work as hard as I can to make 2019 as remarkable as this current year. Happy new year, everybody! hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_juanalytics-activity-6485552779078172673-Uhwp,Image,TRUE,Accomplishment,,
42,7,47,0,"Using the R integration to calculate linear regression in Tableau. Most of my contacts stopped reading by now, but for those of you who are still here: I highly recommend you this article written by one of my colleagues Catalina Fluerici. I read it for the first time today and it really blew my mind. https://lnkd.in/dzSzVMV hashtag#biztory hashtag#tableau hashtag#r hashtag#regression hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_simple-linear-regressions-slope-and-intercept-activity-6486182142802952192-zUA8,Link,FALSE,Display,Catalina Fluerici,FALSE
43,7,35,1,"Are you comfortable with SQL, but you still struggle with R and Python? Try sqldf for R and pandasql for Python! These packages allow you to use SQL commands on data frames. They are both very easy to set up and use. Sqldf: https://lnkd.in/dNeaiKV Pandasql: https://lnkd.in/dUCWZaw hashtag#sql hashtag#teamfederer hashtag#datascience hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_sql-teamfederer-datascience-activity-6486886093189849088-i_ih,Image,TRUE,Display,,
44,7,15,2,"The Australian Open starts in exactly one week. Is this going to be yet another victory for either of the big 3? Or will we see a new face holding the trophy? If you love tennis, just as much as you love data, I can't recommend enough to check out Tennis Nerds Blog. Their work is stunning and very insightful! Also, for those of you who missed it, Ludovic Tavernier and Klaus Schulte made a data essay of the career of Boris Becker. Here is the link: https://lnkd.in/deJJTAC As for me, I also tried a tennis visualization on my own. Here is the link: https://lnkd.in/df9vQqE hashtag#tableau hashtag#tennis hashtag#teamfederer hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-tennis-teamfederer-activity-6487929699702964224-MCMg,Image,TRUE,Display,Tennis Nerds Blog | Ludovic Tavernier | Klaus Schulte,
45,7,17,2,"Are you an intermediate Tableau user trying to master the tool? I have a hidden gem for you! Most of the sessions from the Tableau Conferences are recorded and freely available on YouTube! I call them hidden gems because most of these videos have less than 200 views. Check them out and learn as much as you can from Zen Masters, the Tableau development team, consultants, and industry leaders. If you have trouble deciding, here are some of my favorites (in no particular order): • ""LODs of fun"" by Luca Bandini. • ""Ready, set, action!"" by Bethany Lyons • ""What's new with survey data?"" by Steve Wexler • ""New Ways to Visualise Time"" by Andy Cotgreave Here are the links to the playlists: TC New Orleans 2018: https://lnkd.in/dUngf4X TC London 2018: https://lnkd.in/dV66y-X hashtag#juanalytics",https://www.linkedin.com/posts/jmperafan_tableau-conference-europe-2018-youtube-activity-6488367007619129344-Y1Ul,Link,FALSE,Display,Luca Bandini | Bethany Lyons | Steve Wexler | Andy Cotgreave,FALSE
46,7,42,3,"One of my fellow Biztorians, Alexander Philipeit, made a very interesting tutorial on 3D visualizations. It is mesmerizing to watch his dashboard rotate! Here is the link if you want to learn how he did it... Or just make it spin for a while: https://lnkd.in/dXuV_Y2 hashtag#tableau hashtag#biztory hashtag#juanalytics",https://www.linkedin.com/feed/update/urn:li:activity:6488705287229317120/,Gif,FALSE,Display,Alexander Philipeit,FALSE
